episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,1903673.3750,1903673.3750,87.51,72.98,0.00
2,13066.4219,958369.8750,86.76,73.50,0.00
3,12834.1670,643191.3125,86.71,74.03,0.00
4,12649.8008,485555.9062,86.99,74.55,0.00
5,12500.9229,390944.9062,87.51,75.08,0.00
6,12300.7500,327837.5312,87.70,75.61,0.00
7,12103.2754,282732.6562,87.91,76.13,0.00
8,11889.2539,248877.2188,88.02,76.66,0.00
9,11663.5596,222520.1406,88.04,77.19,0.00
10,11483.5361,201416.4688,88.41,77.72,0.00
11,11298.9053,12179.0605,88.75,78.24,0.00
12,11124.5254,11984.8701,89.19,78.77,0.00
13,10944.7686,11795.9297,89.61,79.31,0.00
14,10768.9102,11607.8408,90.07,79.84,0.00
15,10539.6406,11411.7129,90.11,80.38,0.00
16,10294.0791,11211.0449,90.02,80.91,0.00
17,10049.4834,11005.6660,89.92,81.45,0.00
18,9807.1895,10797.4590,89.85,81.98,0.00
19,9563.8672,10587.4902,89.76,82.52,0.00
20,9321.6689,10371.3037,89.67,83.05,0.00
21,9077.2695,10149.1406,89.56,83.58,0.00
22,8835.9531,9920.2832,89.48,84.11,0.00
23,8596.4971,9685.4561,89.41,84.64,0.00
24,8353.7871,9443.9434,89.30,85.17,0.00
25,8112.9409,9201.2734,89.21,85.69,0.00
26,7873.9307,8959.2578,89.13,86.22,0.00
27,7633.5098,8717.6611,89.03,86.74,0.00
28,7395.1616,8476.4590,88.95,87.26,0.00
29,7181.0742,8238.1797,89.15,87.79,0.00
30,6980.7056,8004.0830,89.55,88.31,0.00
31,6990.2988,7795.3853,89.66,88.84,0.00
32,6992.6362,7611.0537,89.69,89.37,0.00
33,6989.4824,7450.3530,89.65,89.90,0.00
34,6983.2456,7313.2983,89.58,90.43,0.00
35,6976.4619,7199.6509,89.49,90.95,0.00
36,6967.2739,7108.9854,89.38,91.48,0.00
37,6960.0737,7041.6416,89.29,92.02,0.00
38,6954.6582,6997.5908,89.22,92.55,0.00
39,6949.0713,6974.3906,89.15,93.08,0.00
40,6939.6938,6970.2900,89.03,93.61,0.00
41,6930.0781,6964.2681,88.91,94.14,0.00
42,6923.5684,6957.3608,88.83,94.67,0.00
43,6917.0820,6950.1201,88.75,95.20,0.00
44,6911.7017,6942.9663,88.68,95.74,0.00
45,6904.1865,6935.7393,88.59,96.27,0.00
46,6898.0381,6928.8154,88.51,96.80,0.00
47,6930.3857,6925.8467,88.92,97.33,0.00
