Time,Lap,DistFromStart,Speed,RPM,Gear,SteerCmd,AccelCmd,BrakeCmd,ClutchCmd,X,Y,Z,Roll,Pitch,Yaw,AccelX,AccelY,AccelZ,WheelSpinVel_FL,WheelSpinVel_FR,WheelSpinVel_RL,WheelSpinVel_RR,ToMiddle,ToLeft,ToRight,AngleToTrack,TrackSegType,SegmentLength,Radius,DistToSegEnd,NextCornerDist,NextCornerRadius,NextCornerDir,LapBestTime,CurrentLapTime,LastLapTime,DamageLevel,FuelLevel,RacePos,TrackSensor1,TrackSensor2,TrackSensor3,TrackSensor4,TrackSensor5,TrackSensor6,TrackSensor7,TrackSensor8,TrackSensor9,TrackSensor10,TrackSensor11,TrackSensor12,TrackSensor13,TrackSensor14,TrackSensor15,TrackSensor16,TrackSensor17,TrackSensor18,TrackSensor19
-0.980,0,0.00,-0.10,115.19,0,0.0000,0.0000,1.0000,0.0000,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.982,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
-0.960,0,4153.36,-0.10,115.19,0,0.0000,0.0000,0.0000,0.5932,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.962,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
-0.940,0,4153.36,-0.10,115.19,0,0.0000,0.0000,0.0000,0.5932,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.942,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
-0.920,0,4153.36,-0.10,115.19,0,0.0000,0.0000,0.0000,0.5932,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.922,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
-0.900,0,4153.36,-0.10,115.19,0,0.0000,0.0000,0.0000,0.5932,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.902,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
-0.880,0,4153.36,-0.10,115.19,0,0.0000,0.0000,0.0000,0.5932,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.882,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
-0.860,0,4153.36,-0.10,115.19,0,0.0000,0.0000,0.0000,0.5932,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.862,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
-0.840,0,4153.36,-0.10,115.19,0,0.0000,0.0000,0.0000,0.5932,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.842,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
-0.820,0,4153.36,-0.10,115.19,0,0.0000,0.0000,0.0000,0.5932,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.822,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
-0.800,0,4153.36,-0.10,115.19,0,0.0000,0.0000,0.0000,0.5932,600.9699,529.3522,35.0584,-0.0000,-0.0011,0.0018,-22.1790,5.7806,0.0134,0.0000,0.0000,1.0014,1.0064,-2.0000,8.0000,4.0000,-0.0018,straight,5.45,0.00,0.46,0.00,0.00,0,0.000,-0.802,0.000,0.00,26.73,4,200.0000,46.0701,23.3904,16.0000,12.4458,10.4433,9.2376,8.5134,8.1234,4.0000,4.0617,4.2567,4.6188,5.2216,6.2229,8.0000,11.6952,23.0351,200.0000
