Time,Lap,DistFromStart,Speed,RPM,Gear,SteerCmd,AccelCmd,BrakeCmd,ClutchCmd,X,Y,Z,Roll,Pitch,Yaw,AccelX,AccelY,AccelZ,WheelSpinVel_FL,WheelSpinVel_FR,WheelSpinVel_RL,WheelSpinVel_RR,ToMiddle,ToLeft,ToRight,AngleToTrack,TrackSegType,SegmentLength,Radius,DistToSegEnd,NextCornerDist,NextCornerRadius,NextCornerDir,LapBestTime,CurrentLapTime,LastLapTime,DamageLevel,FuelLevel,RacePos,TrackSensor1,TrackSensor2,TrackSensor3,TrackSensor4,TrackSensor5,TrackSensor6,TrackSensor7,TrackSensor8,TrackSensor9,TrackSensor10,TrackSensor11,TrackSensor12,TrackSensor13,TrackSensor14,TrackSensor15,TrackSensor16,TrackSensor17,TrackSensor18,TrackSensor19
-0.980,0,0.00,-0.00,115.19,0,0.0000,0.0000,1.0000,0.0000,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.982,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.960,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.962,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.940,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.942,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.920,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.922,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.900,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.902,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.880,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.882,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.860,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.862,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.840,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.842,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.820,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.822,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.800,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.802,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.780,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.782,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.760,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.762,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.740,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.742,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
-0.720,0,1705.94,-0.00,115.19,0,0.0000,0.0000,0.0000,0.5932,294.9998,18.3332,1.5321,0.0013,0.0033,-0.0003,-0.0003,-0.0013,-0.0029,0.0000,0.0000,-2.1307,2.1449,-1.6668,6.6668,3.3332,0.0003,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.722,0.000,0.00,22.82,4,200.0000,38.3928,19.4926,13.3337,10.3718,8.7030,7.6982,7.0947,6.7697,3.3332,3.3846,3.5471,3.8488,4.3511,5.1855,6.6663,9.7455,19.1948,200.0000
