Time,Lap,DistFromStart,Speed,RPM,Gear,SteerCmd,AccelCmd,BrakeCmd,ClutchCmd,X,Y,Z,Roll,Pitch,Yaw,AccelX,AccelY,AccelZ,WheelSpinVel_FL,WheelSpinVel_FR,WheelSpinVel_RL,WheelSpinVel_RR,ToMiddle,ToLeft,ToRight,AngleToTrack,TrackSegType,SegmentLength,Radius,DistToSegEnd,NextCornerDist,NextCornerRadius,NextCornerDir,LapBestTime,CurrentLapTime,LastLapTime,DamageLevel,FuelLevel,RacePos,TrackSensor1,TrackSensor2,TrackSensor3,TrackSensor4,TrackSensor5,TrackSensor6,TrackSensor7,TrackSensor8,TrackSensor9,TrackSensor10,TrackSensor11,TrackSensor12,TrackSensor13,TrackSensor14,TrackSensor15,TrackSensor16,TrackSensor17,TrackSensor18,TrackSensor19
-0.980,0,0.00,-0.02,115.19,0,0.0000,0.0000,1.0000,0.0000,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.982,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
-0.960,0,2922.61,-0.02,115.19,0,0.0000,0.0000,0.0000,0.5932,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.962,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
-0.940,0,2922.61,-0.02,115.19,0,0.0000,0.0000,0.0000,0.5932,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.942,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
-0.920,0,2922.61,-0.02,115.19,0,0.0000,0.0000,0.0000,0.5932,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.922,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
-0.900,0,2922.61,-0.02,115.19,0,0.0000,0.0000,0.0000,0.5932,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.902,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
-0.880,0,2922.61,-0.02,115.19,0,0.0000,0.0000,0.0000,0.5932,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.882,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
-0.860,0,2922.61,-0.02,115.19,0,0.0000,0.0000,0.0000,0.5932,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.862,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
-0.840,0,2922.61,-0.02,115.19,0,0.0000,0.0000,0.0000,0.5932,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.842,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
-0.820,0,2922.61,-0.02,115.19,0,0.0000,0.0000,0.0000,0.5932,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.822,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
-0.800,0,2922.61,-0.02,115.19,0,0.0000,0.0000,0.0000,0.5932,535.0127,10.0662,5.6906,-0.2747,-0.0096,-0.0349,4.3080,0.2159,-0.0727,0.0000,0.0000,-3.2532,3.5082,-4.9343,19.9343,10.0657,0.0349,straight,9.38,0.00,8.11,0.00,0.00,0,0.000,-0.802,0.000,0.00,24.76,4,200.0000,114.7969,58.2839,39.8686,31.0122,26.0223,23.0181,21.2136,20.2418,10.0657,10.2210,10.7117,11.6229,13.1399,15.6595,20.1314,29.4302,57.9662,200.0000
