Time,Lap,DistFromStart,Speed,RPM,Gear,SteerCmd,AccelCmd,BrakeCmd,ClutchCmd,X,Y,Z,Roll,Pitch,Yaw,AccelX,AccelY,AccelZ,WheelSpinVel_FL,WheelSpinVel_FR,WheelSpinVel_RL,WheelSpinVel_RR,ToMiddle,ToLeft,ToRight,AngleToTrack,TrackSegType,SegmentLength,Radius,DistToSegEnd,NextCornerDist,NextCornerRadius,NextCornerDir,LapBestTime,CurrentLapTime,LastLapTime,DamageLevel,FuelLevel,RacePos,TrackSensor1,TrackSensor2,TrackSensor3,TrackSensor4,TrackSensor5,TrackSensor6,TrackSensor7,TrackSensor8,TrackSensor9,TrackSensor10,TrackSensor11,TrackSensor12,TrackSensor13,TrackSensor14,TrackSensor15,TrackSensor16,TrackSensor17,TrackSensor18,TrackSensor19
-0.980,0,0.00,0.06,104.72,0,0.0000,0.0000,1.0000,0.0000,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.982,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
-0.960,0,1705.94,0.06,104.72,0,0.0000,0.0000,0.0000,0.5932,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.962,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
-0.940,0,1705.94,0.06,104.72,0,0.0000,0.0000,0.0000,0.5932,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.942,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
-0.920,0,1705.94,0.06,104.72,0,0.0000,0.0000,0.0000,0.5932,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.922,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
-0.900,0,1705.94,0.06,104.72,0,0.0000,0.0000,0.0000,0.5932,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.902,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
-0.880,0,1705.94,0.06,104.72,0,0.0000,0.0000,0.0000,0.5932,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.882,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
-0.860,0,1705.94,0.06,104.72,0,0.0000,0.0000,0.0000,0.5932,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.862,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
-0.840,0,1705.94,0.06,104.72,0,0.0000,0.0000,0.0000,0.5932,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.842,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
-0.820,0,1705.94,0.06,104.72,0,0.0000,0.0000,0.0000,0.5932,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.822,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
-0.800,0,1705.94,0.06,104.72,0,0.0000,0.0000,0.0000,0.5932,295.0001,18.3330,1.6575,0.0017,0.0034,-0.0001,-0.0202,3.7083,0.4832,0.0000,0.0000,-0.6904,-0.6901,-1.6670,6.6670,3.3330,0.0001,straight,150.00,0.00,55.00,0.00,43.00,-1,0.000,-0.802,0.000,0.00,22.82,4,200.0000,38.3939,19.4931,13.3341,10.3721,8.7032,7.6984,7.0949,6.7699,3.3330,3.3844,3.5469,3.8486,4.3509,5.1852,6.6659,9.7450,19.1938,200.0000
