Time,Lap,DistFromStart,Speed,RPM,Gear,SteerCmd,AccelCmd,BrakeCmd,ClutchCmd,X,Y,Z,Roll,Pitch,Yaw,AccelX,AccelY,AccelZ,WheelSpinVel_FL,WheelSpinVel_FR,WheelSpinVel_RL,WheelSpinVel_RR,ToMiddle,ToLeft,ToRight,AngleToTrack,TrackSegType,SegmentLength,Radius,DistToSegEnd,NextCornerDist,NextCornerRadius,NextCornerDir,LapBestTime,CurrentLapTime,LastLapTime,DamageLevel,FuelLevel,RacePos,TrackSensor1,TrackSensor2,TrackSensor3,TrackSensor4,TrackSensor5,TrackSensor6,TrackSensor7,TrackSensor8,TrackSensor9,TrackSensor10,TrackSensor11,TrackSensor12,TrackSensor13,TrackSensor14,TrackSensor15,TrackSensor16,TrackSensor17,TrackSensor18,TrackSensor19
-0.980,0,0.00,-0.00,104.72,0,0.0000,0.0000,1.0000,0.0000,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.982,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
-0.960,0,4153.37,-0.00,104.72,0,0.0000,0.0000,0.0000,0.5932,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.962,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
-0.940,0,4153.37,-0.00,104.72,0,0.0000,0.0000,0.0000,0.5932,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.942,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
-0.920,0,4153.37,-0.00,104.72,0,0.0000,0.0000,0.0000,0.5932,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.922,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
-0.900,0,4153.37,-0.00,104.72,0,0.0000,0.0000,0.0000,0.5932,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.902,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
-0.880,0,4153.37,-0.00,104.72,0,0.0000,0.0000,0.0000,0.5932,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.882,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
-0.860,0,4153.37,-0.00,104.72,0,0.0000,0.0000,0.0000,0.5932,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.862,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
-0.840,0,4153.37,-0.00,104.72,0,0.0000,0.0000,0.0000,0.5932,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.842,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
-0.820,0,4153.37,-0.00,104.72,0,0.0000,0.0000,0.0000,0.5932,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.822,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
-0.800,0,4153.37,-0.00,104.72,0,0.0000,0.0000,0.0000,0.5932,600.9726,529.3524,35.2043,-0.0000,-0.0012,0.0003,11.0449,-1.1415,0.4617,0.0000,0.0000,1.1892,-1.1562,-1.9998,7.9998,4.0002,-0.0003,straight,5.45,0.00,0.45,0.00,0.00,0,0.000,-0.802,0.000,0.00,26.73,4,200.0000,46.0691,23.3899,15.9996,12.4455,10.4430,9.2374,8.5132,8.1232,4.0002,4.0619,4.2569,4.6190,5.2219,6.2232,8.0004,11.6958,23.0362,200.0000
